Sector,Pressure,Ecological Characteristic,Overlap,Frequency,DoI,Resilience,Persistence,Checked,Extrap,Confidence,Review Panel notes and amendments,Amendments,Comments from original assessment,Overlap Score,Frequency Score,DoI Score,Resilience Score,Persistence Score
Aggregates,Abrasion,Demersal Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Pelagic Elasmobranch,NO,,,,,,,,,,Single site only not signigficant interaction with pelagic fish,0,0,0,0,0
Aggregates,Abrasion,Deep Sea Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion, Reptiles ,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Cephalopods,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Deep Sea Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Demersal Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Pelagic Fish,NO,,,,,,,,,,Single site only not signigficant interaction with pelagic fish,0,0,0,0,0
Aggregates,Abrasion,Seabirds,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Seals,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Toothed Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Baleen Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Oceanic Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Shelf Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Coastal Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Abyssal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Abyssal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Bathyal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Bathyal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Slope Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Slope Rock Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Shelf Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Shelf Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Shallow Mud,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Abrasion,Shallow Sediment,S,R,A,M,L,Y,,,Freq C-R,"ADDED: Aggregates - listed as occuring for other pressures (extraction, substrate loss). Where they occur they are by nature abrasive",,0.03,0.08,1,0.06,0.01
Aggregates,Abrasion,Shallow Rock & Reef,S,R,A,M,L,Y,,,Freq C-R,"ADDED: Aggregates - listed as occuring for other pressures (extraction, substrate loss). Where they occur they are by nature abrasive",,0.03,0.08,1,0.06,0.01
Aggregates,Abrasion,Littoral Sediment,S,R,A,M,L,Y,,,Freq C-R,"ADDED: Aggregates - listed as occuring for other pressures (extraction, substrate loss). Where they occur they are by nature abrasive",None licenced but may occur,0.03,0.08,1,0.06,0.01
Aggregates,Abrasion,Littoral Rock & Reef,S,R,A,M,L,Y,,,Freq C-R,"ADDED: Aggregates - listed as occuring for other pressures (extraction, substrate loss). Where they occur they are by nature abrasive.",,0.03,0.08,1,0.06,0.01
Aggregates,Barriers,Demersal Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Pelagic Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Deep Sea Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers, Reptiles ,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Cephalopods,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Deep Sea Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Demersal Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Pelagic Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Seabirds,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Seals,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Toothed Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Baleen Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Oceanic Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Shelf Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Coastal Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Abyssal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Abyssal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Bathyal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Bathyal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Slope Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Slope Rock Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Shelf Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Shelf Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Shallow Mud,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Shallow Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Barriers,Shallow Rock & Reef,NO,,,,,,,,,REMOVED: not a permanent barrier to movement,Single site only (maerl),0,0,0,0,0
Aggregates,Barriers,Littoral Sediment,NO,,,,,,,,,,0,0,0,0,0,0
Aggregates,Barriers,Littoral Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Demersal Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Pelagic Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Deep Sea Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch, Reptiles ,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Cephalopods,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Deep Sea Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Demersal Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Pelagic Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Seabirds,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Seals,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Toothed Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Baleen Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Oceanic Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Shelf Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Coastal Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Abyssal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Abyssal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Bathyal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Bathyal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Slope Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Slope Rock Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Shelf Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Shelf Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Shallow Mud,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Shallow Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Shallow Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Littoral Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Bycatch,Littoral Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Demersal Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Pelagic Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Deep Sea Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes, Reptiles ,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Cephalopods,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Deep Sea Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Demersal Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Pelagic Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Seabirds,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Seals,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Toothed Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Baleen Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Oceanic Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Shelf Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Coastal Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Abyssal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Abyssal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Bathyal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Bathyal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Slope Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Slope Rock Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Shelf Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Shelf Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Current Changes,Shallow Mud,NO,,,,,,,,Removed by panel - not considered to effect this habitat,ADDED: Can affect current movement,,0,0,0,0,0
Aggregates,Current Changes,Shallow Sediment,S,R,L,M,L,Y,,,,ADDED: Can affect current movement,,0.03,0.08,0.01,0.06,0.01
Aggregates,Current Changes,Shallow Rock & Reef,S,R,L,M,L,Y,,,,ADDED: Can affect current movement,,0.03,0.08,0.01,0.06,0.01
Aggregates,Current Changes,Littoral Sediment,S,R,L,M,L,Y,,,,ADDED: Can affect current movement,0,0.03,0.08,0.01,0.06,0.01
Aggregates,Current Changes,Littoral Rock & Reef,S,R,L,M,L,Y,,,,ADDED: Can affect current movement,,0.03,0.08,0.01,0.06,0.01
Aggregates,Emergence Regime,Demersal Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Pelagic Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Deep Sea Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime, Reptiles ,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Cephalopods,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Deep Sea Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Demersal Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Pelagic Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Seabirds,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Seals,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Toothed Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Baleen Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Oceanic Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Shelf Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Coastal Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Abyssal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Abyssal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Bathyal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Bathyal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Slope Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Slope Rock Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Shelf Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Shelf Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Shallow Mud,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Shallow Sediment,NO,,,,,,,,,,,0,0,0,0,0
